"date","page","sessions","users","bounce_rate","avg_session_duration"
2023-11-01,"/",72,47,0.45,286
2023-11-01,"/blog",34,27,0.73,147
2023-11-01,"/blog/r-tutorial",52,33,0.43,394
2023-11-01,"/blog/python-intro",58,41,0.61,273
2023-11-01,"/blog/data-viz",53,37,0.6,190
2023-11-01,"/blog/machine-learning",43,36,0.26,279
2023-11-01,"/about",75,53,0.72,277
2023-11-01,"/contacts",43,31,0.52,377
2023-11-01,"/services",85,62,0.6,287
2023-11-01,"/portfolio",44,34,0.27,372
2023-11-01,"/blog/sql-basics",71,51,0.71,392
2023-11-01,"/blog/ggplot2-guide",91,81,0.27,265
2023-11-02,"/",17,15,0.64,329
2023-11-02,"/blog",39,34,0.51,201
2023-11-02,"/blog/r-tutorial",42,26,0.38,111
2023-11-02,"/blog/python-intro",58,43,0.5,400
2023-11-02,"/blog/data-viz",39,27,0.52,147
2023-11-02,"/blog/machine-learning",1,1,0.29,68
2023-11-02,"/about",1,1,0.71,142
2023-11-02,"/contacts",71,61,0.53,145
2023-11-02,"/services",39,34,0.28,260
2023-11-02,"/portfolio",9,7,0.59,299
2023-11-02,"/blog/sql-basics",42,32,0.56,239
2023-11-02,"/blog/ggplot2-guide",69,61,0.29,102
2023-11-03,"/",83,72,0.47,292
2023-11-03,"/blog",36,26,0.57,286
2023-11-03,"/blog/r-tutorial",40,25,0.65,152
2023-11-03,"/blog/python-intro",10,8,0.45,145
2023-11-03,"/blog/data-viz",54,47,0.64,187
2023-11-03,"/blog/machine-learning",32,23,0.69,171
2023-11-03,"/about",54,36,0.56,337
2023-11-03,"/contacts",59,37,0.43,142
2023-11-03,"/services",66,47,0.72,226
2023-11-03,"/portfolio",33,22,0.62,362
2023-11-03,"/blog/sql-basics",55,35,0.28,152
2023-11-03,"/blog/ggplot2-guide",11,7,0.3,226
2023-11-04,"/",29,22,0.66,360
2023-11-04,"/blog",28,18,0.65,179
2023-11-04,"/blog/r-tutorial",1,1,0.28,242
2023-11-04,"/blog/python-intro",46,41,0.7,338
2023-11-04,"/blog/data-viz",49,44,0.61,125
2023-11-04,"/blog/machine-learning",38,31,0.7,417
2023-11-04,"/about",60,39,0.52,404
2023-11-04,"/contacts",30,18,0.42,246
2023-11-04,"/services",18,15,0.67,104
2023-11-04,"/portfolio",54,43,0.65,263
2023-11-04,"/blog/sql-basics",29,25,0.52,73
2023-11-04,"/blog/ggplot2-guide",74,53,0.64,403
2023-11-05,"/",36,26,0.28,64
2023-11-05,"/blog",58,44,0.48,268
2023-11-05,"/blog/r-tutorial",51,37,0.26,327
2023-11-05,"/blog/python-intro",29,18,0.62,128
2023-11-05,"/blog/data-viz",77,55,0.6,167
2023-11-05,"/blog/machine-learning",58,38,0.25,221
2023-11-05,"/about",47,38,0.49,201
2023-11-05,"/contacts",51,31,0.55,297
2023-11-05,"/services",59,52,0.39,281
2023-11-05,"/portfolio",47,41,0.28,322
2023-11-05,"/blog/sql-basics",1,1,0.44,175
2023-11-05,"/blog/ggplot2-guide",51,45,0.52,112
2023-11-06,"/",38,30,0.38,79
2023-11-06,"/blog",49,39,0.72,404
2023-11-06,"/blog/r-tutorial",57,41,0.47,69
2023-11-06,"/blog/python-intro",73,45,0.6,391
2023-11-06,"/blog/data-viz",30,24,0.34,192
2023-11-06,"/blog/machine-learning",71,45,0.37,311
2023-11-06,"/about",52,36,0.26,265
2023-11-06,"/contacts",66,52,0.41,162
2023-11-06,"/services",63,45,0.46,64
2023-11-06,"/portfolio",59,37,0.3,212
2023-11-06,"/blog/sql-basics",24,21,0.68,281
2023-11-06,"/blog/ggplot2-guide",43,31,0.25,62
2023-11-07,"/",57,46,0.73,299
2023-11-07,"/blog",26,16,0.65,102
2023-11-07,"/blog/r-tutorial",34,26,0.5,385
2023-11-07,"/blog/python-intro",57,39,0.72,96
2023-11-07,"/blog/data-viz",60,43,0.48,264
2023-11-07,"/blog/machine-learning",54,35,0.51,151
2023-11-07,"/about",27,23,0.67,269
